Region	Cluster_type	Cluster-Name	Start	End	Genes_total	Genes_expressed	Reads_total	Mean_reads_per_gene	Completeness	Status
contig_2	CDS	HNH_endonuclease	3144927	3145590	1	1	25	25.0	100.0%	complete
contig_2	CDS	Secreted_protein	2988442	2988889	1	1	3393	3393.0	100.0%	complete
contig_3	CDS	Glycosyltransferase_family_2_protein	2889250	2890384	1	1	709	709.0	100.0%	complete
contig_3	CDS	type_VII_secretion_protein_EccB	690834	692502	1	1	16629	16629.0	100.0%	complete
contig_3	CDS	hypothetical_protein	2034296	2034488	1	1	45	45.0	100.0%	complete
contig_2	CDS	HTH_luxR-type_domain-containing_protein	1036065	1038858	1	1	1480	1480.0	100.0%	complete
contig_2	CDS	hypothetical_protein	4794449	4794782	1	0	0	0.0	0.0%	empty
contig_2	CDS	Serine_hydrolase	282960	284232	1	1	372	372.0	100.0%	complete
contig_2	CDS	Amidohydrolase	2081109	2082372	1	1	31	31.0	100.0%	complete
contig_2	CDS	GtrA/DPMS_transmembrane_domain-containing_protein	3352281	3352791	1	1	2525	2525.0	100.0%	complete
contig_2	CDS	1,2-phenylacetyl-CoA_epoxidase_subunit_PaaA	4124868	4125852	1	1	94	94.0	100.0%	complete
contig_3	CDS	ABC_transporter_ATP-binding_protein	2171003	2172638	1	1	34	34.0	100.0%	complete
contig_2	CDS	Putative_peptide_synthetase_MbtE	317506	319078	1	1	63	63.0	100.0%	complete
contig_2	CDS	Amidohydrolase	3604652	3605930	1	1	371	371.0	100.0%	complete
contig_3	CDS	Putative_Flp_pilus-assembly_TadG-like_N-terminal_domain-containing_protein	1582490	1582940	1	1	84	84.0	100.0%	complete
contig_2	CDS	Excisionase	4476715	4477015	1	1	36	36.0	100.0%	complete
contig_3	CDS	Glycosyl_transferase_family_2	1854182	1855091	1	1	660	660.0	100.0%	complete
contig_3	CDS	TolB-like_translocation_protein_signal_peptide	1900306	1901347	1	1	37	37.0	100.0%	complete
contig_2	CDS	ABC_transporter_ATP-binding_protein	584682	586299	1	1	12799	12799.0	100.0%	complete
contig_2	CDS	TetR_family_transcriptional_regulator	2085529	2086171	1	1	179	179.0	100.0%	complete
contig_3	CDS	ATP-dependent_DNA_helicase_RecQ	815653	817819	1	1	1541	1541.0	100.0%	complete
contig_2	misc_feature	tta_leucine_codon,_possible_target_for_bldA_regulation	683228	683231	0	0	0	0.0	0.0%	empty
contig_2	CDS	Stearoyl-CoA_9-desaturase	3445010	3446033	1	1	8798	8798.0	100.0%	complete
contig_2	CDS	30S_ribosomal_protein_S11	3691421	3691826	1	1	69986	69986.0	100.0%	complete
contig_2	CDS	Peptidase	3887122	3888547	1	1	5396	5396.0	100.0%	complete
contig_3	CDS	hypothetical_protein	1810784	1811192	1	1	11	11.0	100.0%	complete
contig_3	CDS	Glycosyl_hydrolase	1349751	1350477	1	0	0	0.0	0.0%	empty
contig_2	CDS	D-inositol_3-phosphate_glycosyltransferase	1987712	1988984	1	1	679	679.0	100.0%	complete
contig_3	CDS	Glycosyl_hydrolase	2245423	2246695	1	1	119	119.0	100.0%	complete
contig_3	CDS	hydrogenase_nickel_incorporation_protein_HypB	2442638	2443397	1	1	104	104.0	100.0%	complete
contig_2	CDS	Membrane_protein	47237	47720	1	1	149	149.0	100.0%	complete
contig_3	CDS	MFS_transporter	2492748	2494299	1	1	24562	24562.0	100.0%	complete
contig_2	CDS	hypothetical_protein	683198	684050	1	1	11	11.0	100.0%	complete
contig_2	CDS	Fe-S_cluster_assembly_protein_SufD	2148737	2149925	1	1	48682	48682.0	100.0%	complete
contig_2	CDS	hypothetical_protein	2295990	2296161	1	1	9	9.0	100.0%	complete
contig_2	CDS	Integral_membrane_protein	5019737	5021015	1	1	471	471.0	100.0%	complete
contig_3	cand_cluster	butyrolactone	913685	924711	8	8	131848	16481.0	100.0%	complete
contig_3	CDS	Allantoin_permease	577191	578691	1	1	5586	5586.0	100.0%	complete
contig_2	CDS	hypothetical_protein	165498	165588	1	1	154	154.0	100.0%	complete
contig_2	CDS	Condensation_protein	2714626	2716258	1	1	1	1.0	100.0%	complete
contig_2	CDS	Peptidase	5035402	5037193	1	1	1285	1285.0	100.0%	complete
contig_2	CDS	hypothetical_protein	4630491	4631205	1	0	0	0.0	0.0%	empty
contig_2	CDS	Putative_DNA_binding_protein	461100	462081	1	1	404	404.0	100.0%	complete
contig_3	CDS	DNA_helicase_DnaB-like_N-terminal_domain-containing_protein	1307140	1308262	1	1	17	17.0	100.0%	complete
contig_3	CDS	Serine/threonine_protein_kinase	2655872	2656643	1	1	149	149.0	100.0%	complete
contig_2	CDS	Transferase	1986780	1987629	1	1	525	525.0	100.0%	complete
contig_2	CDS	Phosphatase	718456	719623	1	1	412	412.0	100.0%	complete
contig_3	CDS	Solute-binding_protein_family_5_domain-containing_protein	2947669	2949367	1	1	187	187.0	100.0%	complete
contig_3	CDS	SalK	1842049	1842916	1	1	986	986.0	100.0%	complete
contig_3	CDS	Triosephosphate_isomerase	1940233	1941025	1	1	22	22.0	100.0%	complete
contig_2	CDS	DUF2304_domain-containing_protein	2910925	2911120	1	1	6544	6544.0	100.0%	complete
contig_2	CDS	tryptophan_synthase_subunit_beta	2289846	2291118	1	1	46309	46309.0	100.0%	complete
contig_2	CDS	dihydroxy-acid_dehydratase	4662115	4663966	1	1	24461	24461.0	100.0%	complete
contig_2	CDS	Membrane_protein	1935165	1935873	1	1	303	303.0	100.0%	complete
contig_2	CDS	Divalent_cation_tolerance_protein	5150311	5150644	1	1	619	619.0	100.0%	complete
contig_2	CDS	DUF397_domain-containing_protein	5116645	5116843	1	1	1893	1893.0	100.0%	complete
contig_3	CDS	polyketide_synthase_Pks13	289591	315067	1	1	3737	3737.0	100.0%	complete
contig_2	CDS	arginine_repressor	1730193	1730736	1	1	8582	8582.0	100.0%	complete
contig_3	CDS	TetR_family_transcriptional_regulator	1796498	1797119	1	1	28	28.0	100.0%	complete
contig_3	CDS	HNH_nuclease_domain-containing_protein	433244	434273	1	1	895	895.0	100.0%	complete
contig_2	CDS	GntR_domain_protein	928462	929134	1	1	245	245.0	100.0%	complete
contig_2	CDS	Betaine-aldehyde_dehydrogenase	3596144	3597617	1	1	86	86.0	100.0%	complete
contig_2	CDS	GTP_cyclohydrolase_I_FolE	4602381	4602990	1	1	1751	1751.0	100.0%	complete
contig_2	CDS	Putative_flavin_reductase/monooxygenase	383500	384118	1	1	8863	8863.0	100.0%	complete
contig_2	CDS	Prepilin_peptidase	570599	571526	1	1	775	775.0	100.0%	complete
contig_2	CDS	TerD_domain-containing_protein	4830940	4831516	1	1	218297	218297.0	100.0%	complete
contig_2	CDS	FAD/NAD(P)-binding_domain-containing_protein	3396277	3397666	1	1	41453	41453.0	100.0%	complete
contig_2	CDS	polyamine_aminopropyltransferase	3952869	3954600	1	1	7	7.0	100.0%	complete
contig_2	CDS	Membrane_protein	1263570	1265133	1	1	1263	1263.0	100.0%	complete
contig_2	CDS	glycine_C-acetyltransferase	1115436	1116630	1	1	230	230.0	100.0%	complete
contig_2	CDS	HipA-like_kinase_domain-containing_protein	133704	134385	1	1	13	13.0	100.0%	complete
contig_2	CDS	hypothetical_protein	798225	798540	1	1	12	12.0	100.0%	complete
contig_2	CDS	TerD_domain-containing_protein	2661976	2662552	1	1	174088	174088.0	100.0%	complete
contig_2	CDS	acetylornithine_transaminase	1730755	1732006	1	1	12252	12252.0	100.0%	complete
contig_3	CDS	Dynein_regulation_protein_LC7	2390483	2390858	1	1	6826	6826.0	100.0%	complete
contig_3	CDS	DUF6777_domain-containing_protein	1123578	1124862	1	1	49	49.0	100.0%	complete
contig_2	CDS	histidinol-phosphate_transaminase	4240468	4241548	1	1	4175	4175.0	100.0%	complete
contig_3	CDS	Transposase	2198233	2198536	1	0	0	0.0	0.0%	empty
contig_2	CDS	Lipoprotein	3569266	3569962	1	1	11	11.0	100.0%	complete
contig_2	CDS	2-oxoadipate_dioxygenase/decarboxylase	1449387	1450824	1	1	95	95.0	100.0%	complete
contig_3	CDS	Cyclohexanecarboxyl-CoA_dehydrogenase	2215887	2217060	1	1	52765	52765.0	100.0%	complete
contig_2	CDS	Tellurium_resistance_protein	4036228	4036684	1	1	17322	17322.0	100.0%	complete
contig_2	CDS	hypothetical_protein	4002089	4002350	1	1	24	24.0	100.0%	complete
contig_2	CDS	Succinate_dehydrogenase_/_fumarate_reductase_flavoprotein_subunit	2298645	2300592	1	1	185245	185245.0	100.0%	complete
contig_3	CDS	Secreted_protein	1424774	1425518	1	1	40	40.0	100.0%	complete
contig_2	CDS	Acyl-CoA_dehydrogenase	4929439	4930615	1	1	149	149.0	100.0%	complete
contig_2	CDS	Transcription_regulator_AsnC/Lrp_ligand_binding_domain-containing_protein	2407591	2407873	1	1	5319	5319.0	100.0%	complete
contig_2	CDS	ribosomal_protection-like_ABC-F_family_protein	2096418	2098017	1	1	1371	1371.0	100.0%	complete
contig_3	CDS	Short-chain_dehydrogenase	2705696	2706428	1	1	1	1.0	100.0%	complete
contig_2	CDS	ATP-binding_protein	2804051	2804684	1	1	9369	9369.0	100.0%	complete
contig_1	CDS	NysK	59101	65272	1	1	11503	11503.0	100.0%	complete
contig_2	CDS	Serine/threonine_protein_kinase	827731	829291	1	1	150	150.0	100.0%	complete
contig_3	CDS	N-acetyltransferase	147452	147956	1	1	34	34.0	100.0%	complete
contig_2	CDS	Secreted_protein	2050966	2051674	1	1	69	69.0	100.0%	complete
contig_2	CDS	hypothetical_protein	3963211	3963457	1	1	9480	9480.0	100.0%	complete
contig_3	CDS	DUF6758_domain-containing_protein	60528	61128	1	1	109	109.0	100.0%	complete
contig_2	CDS	3-oxoacyl-[acyl-carrier-protein]_reductase_FabG	49533	50328	1	1	43	43.0	100.0%	complete
contig_3	CDS	DUF317_domain-containing_protein	1317309	1318080	1	0	0	0.0	0.0%	empty
contig_2	CDS	Double_zinc_ribbon_domain-containing_protein	3793837	3794149	1	1	566	566.0	100.0%	complete
contig_2	CDS	Molybdenum-binding_protein	664868	665288	1	1	4667	4667.0	100.0%	complete
contig_3	CDS	Glutamine_amidotransferase	1844088	1844760	1	1	234	234.0	100.0%	complete
contig_2	CDS	Histidine_phosphatase_family_protein	3822074	3822809	1	1	3314	3314.0	100.0%	complete
contig_2	CDS	Dioxygenase	4256316	4257666	1	1	252	252.0	100.0%	complete
contig_3	CDS	MerR_family_transcriptional_regulator	2203458	2204397	1	1	501	501.0	100.0%	complete
contig_3	cand_cluster	butyrolactone	2423601	2434600	8	8	4469	558.62	100.0%	complete
contig_3	CDS	Transcriptional_regulator	1267245	1267416	1	0	0	0.0	0.0%	empty
contig_3	CDS	Enamine_deaminase_RidA	2809058	2809466	1	1	62	62.0	100.0%	complete
contig_2	CDS	Secreted_protein	4035739	4035964	1	1	283	283.0	100.0%	complete
contig_2	CDS	cytidine_deaminase	5172131	5172539	1	1	42	42.0	100.0%	complete
contig_2	CDS	Integral_membrane_protein	2444501	2445227	1	1	105	105.0	100.0%	complete
contig_2	CDS	biotin--[biotin_carboxyl-carrier_protein]_ligase	5211389	5212274	1	1	1316	1316.0	100.0%	complete
contig_3	CDS	Lipoate--protein_ligase	1444012	1445080	1	1	2705	2705.0	100.0%	complete
contig_2	CDS	MIP_family_channel_protein	1764818	1765586	1	1	729	729.0	100.0%	complete
contig_2	CDS	lipoprotein	5180008	5180638	1	1	22	22.0	100.0%	complete
contig_3	CDS	Alpha-amylase	2047724	2049134	1	1	161	161.0	100.0%	complete
contig_2	CDS	Transcriptional_regulator	4621003	4622113	1	1	674	674.0	100.0%	complete
contig_2	CDS	50S_ribosomal_protein_L3	3704953	3705598	1	1	115915	115915.0	100.0%	complete
contig_2	CDS	YibE/F_family_protein	4233067	4234444	1	1	442	442.0	100.0%	complete
contig_2	CDS	Hydrolase	89146	89710	1	1	210	210.0	100.0%	complete
contig_2	CDS	LacI_family_transcriptional_regulator	3006343	3007450	1	1	62	62.0	100.0%	complete
contig_3	CDS	Histone_acetyltransferase	2632849	2633323	1	1	658	658.0	100.0%	complete
contig_2	CDS	Putative_amino_acid_ABC_transporter,_substrate-binding_protein	1966351	1967320	1	1	29	29.0	100.0%	complete
contig_3	CDS	FUSC_family_protein	2111228	2112812	1	0	0	0.0	0.0%	empty
contig_2	CDS	histidine_kinase	4893765	4895370	1	1	714	714.0	100.0%	complete
contig_1	region	T1PKS	0	76890	17	17	206765	12162.65	100.0%	complete
contig_2	CDS	Antitoxin	1180976	1181177	1	0	0	0.0	0.0%	empty
contig_2	CDS	Glycoside_hydrolase	3781919	3782726	1	1	4404	4404.0	100.0%	complete
contig_2	CDS	DUF3180_domain-containing_protein	5021798	5022020	1	1	28	28.0	100.0%	complete
contig_2	CDS	LigA_protein	1332027	1332936	1	1	973	973.0	100.0%	complete
contig_2	CDS	DUF5691_domain-containing_protein	5039180	5040854	1	1	279	279.0	100.0%	complete
contig_3	CDS	Secreted_protein	63085	63241	1	1	5577	5577.0	100.0%	complete
contig_3	CDS	adenylosuccinate_lyase	2322997	2324431	1	1	12130	12130.0	100.0%	complete
contig_3	CDS	TetR_family_transcriptional_regulator	1137376	1138171	1	1	89	89.0	100.0%	complete
contig_2	CDS	Sugar_ABC_transporter_permease	2545235	2546087	1	1	56	56.0	100.0%	complete
contig_2	CDS	Beta-hydroxyacyl-ACP_dehydratase	4323232	4323667	1	1	8	8.0	100.0%	complete
contig_3	CDS	Aminotransferase	2945193	2946483	1	1	9192	9192.0	100.0%	complete
contig_2	CDS	Transcriptional_regulator	1293664	1294345	1	1	102	102.0	100.0%	complete
contig_3	CDS	PknH-like_extracellular_domain-containing_protein	3038850	3039594	1	1	377	377.0	100.0%	complete
contig_3	CDS	IclR_family_transcriptional_regulator_NdgR	544403	545123	1	1	393	393.0	100.0%	complete
contig_3	CDS	O-GlcNAcase_NagJ	2194060	2196067	1	1	904	904.0	100.0%	complete
contig_3	CDS	Oxidoreductase	486115	487156	1	1	408	408.0	100.0%	complete
contig_3	CDS	CoA-binding_protein	2291659	2292067	1	1	471	471.0	100.0%	complete
contig_2	CDS	PucR_family_transcriptional_regulator	3038769	3040350	1	1	79	79.0	100.0%	complete
contig_2	CDS	Serine/threonine_protein_kinase	1901714	1902065	1	1	400	400.0	100.0%	complete
contig_3	CDS	UPF0256_protein	1180463	1181717	1	1	1945	1945.0	100.0%	complete
contig_2	CDS	Anti-sigma_factor_antagonist	3362302	3362671	1	1	5621	5621.0	100.0%	complete
contig_3	CDS	DUF4334_domain-containing_protein	2624748	2626176	1	1	2609	2609.0	100.0%	complete
contig_2	CDS	bifunctional_[glutamine_synthetase]_adenylyltransferase/[glutamine_synthetase]-adenylyl-L-tyrosine_phosphorylase	2505218	2508242	1	1	934	934.0	100.0%	complete
contig_3	CDS	Methyltransferase	186829	187591	1	1	77014	77014.0	100.0%	complete
contig_3	CDS	SARP_family_transcriptional_regulator	2748167	2750549	1	1	229	229.0	100.0%	complete
contig_3	CDS	CopG_family_transcriptional_regulator	197578	197758	1	1	58	58.0	100.0%	complete
contig_3	CDS	30S_ribosomal_protein_S12_methylthiotransferase_RimO	744439	745945	1	1	7014	7014.0	100.0%	complete
contig_2	CDS	VTC_domain-containing_protein	3932633	3933434	1	1	26007	26007.0	100.0%	complete
contig_3	CDS	Benzaldehyde_dehydrogenase	1018261	1019719	1	1	1616	1616.0	100.0%	complete
contig_2	CDS	Cell_shape-determining_protein_MreB	2720878	2721910	1	1	1084	1084.0	100.0%	complete
contig_2	CDS	Transcriptional_regulatory_protein	909967	910660	1	1	30	30.0	100.0%	complete
contig_2	CDS	histidine_kinase	4352860	4354348	1	1	7	7.0	100.0%	complete
contig_3	CDS	Cytochrome_C3-like_[NiFe]_hydrogenase_small_subunit	2435228	2436308	1	1	1584	1584.0	100.0%	complete
contig_2	CDS	TetR_family_transcriptional_regulator	900333	901086	1	1	850	850.0	100.0%	complete
contig_3	CDS	Two-component_sensor_histidine_kinase	30765	32031	1	1	361	361.0	100.0%	complete
contig_2	CDS	Aldo/keto_reductase	747479	748505	1	1	624	624.0	100.0%	complete
contig_2	CDS	AP-4-A_phosphorylase	1684888	1685446	1	1	1074	1074.0	100.0%	complete
contig_3	CDS	ATP-binding_protein	1518890	1519172	1	1	6	6.0	100.0%	complete
contig_2	CDS	Potassium-transporting_ATPase	4753096	4753198	1	1	2022	2022.0	100.0%	complete
contig_2	CDS	DNA-binding_protein	538281	539640	1	1	533	533.0	100.0%	complete
contig_3	CDS	DNA-3-methyladenine_glycosylase_II	2425567	2427091	1	1	394	394.0	100.0%	complete
contig_2	CDS	Iron_ABC_transporter	4880776	4881874	1	1	393	393.0	100.0%	complete
contig_3	misc_feature	tta_leucine_codon,_possible_target_for_bldA_regulation	903829	903832	0	0	0	0.0	0.0%	empty
contig_2	CDS	Cytochrome_P450	289451	290681	1	1	30	30.0	100.0%	complete
contig_3	CDS	non-specific_serine/threonine_protein_kinase	1126384	1127386	1	0	0	0.0	0.0%	empty
contig_2	CDS	Hydrolase	3797519	3798431	1	1	86	86.0	100.0%	complete
contig_3	CDS	30S_ribosomal_protein_S16	592001	592442	1	1	33824	33824.0	100.0%	complete
contig_1	CDS	NysN	3703	4900	1	1	10863	10863.0	100.0%	complete
contig_2	CDS	hypothetical_protein	159518	159965	1	1	12	12.0	100.0%	complete
contig_2	CDS	Cytochrome_P450	779116	780355	1	1	1216	1216.0	100.0%	complete
contig_2	CDS	Nitroreductase	1146149	1146596	1	1	1594	1594.0	100.0%	complete
contig_2	CDS	Transcriptional_regulator	1866676	1867351	1	1	157	157.0	100.0%	complete
contig_2	CDS	Molybdopterin_oxidoreductase	2736478	2738641	1	1	344	344.0	100.0%	complete
contig_3	CDS	2-dehydropantoate_2-reductase	1364642	1365557	1	1	1202	1202.0	100.0%	complete
contig_2	CDS	Acyltransferase_3_domain-containing_protein	4565077	4566370	1	1	313	313.0	100.0%	complete
contig_3	CDS	XRE_family_transcriptional_regulator	1773680	1774589	1	1	3546	3546.0	100.0%	complete
contig_3	CDS	DUF4352_domain-containing_protein	2071227	2072121	1	1	10745	10745.0	100.0%	complete
contig_3	CDS	methylmalonate-semialdehyde_dehydrogenase_(CoA_acylating)	928088	929588	1	1	40085	40085.0	100.0%	complete
contig_3	CDS	LytR_family_transcriptional_regulator	763615	765271	1	1	3731	3731.0	100.0%	complete
contig_3	CDS	XRE_family_transcriptional_regulator	3021150	3021846	1	1	33	33.0	100.0%	complete
contig_3	CDS	DUF4185_domain-containing_protein	1781658	1782948	1	1	119	119.0	100.0%	complete
contig_2	CDS	Lipid/polyisoprenoid-binding_YceI-like_domain-containing_protein	4363770	4364613	1	1	620	620.0	100.0%	complete
contig_3	CDS	Putative_transcriptional_regulator,_TetR_family_protein	2760691	2761330	1	1	102	102.0	100.0%	complete
contig_2	CDS	hypothetical_protein	378913	379117	1	1	4256	4256.0	100.0%	complete
contig_2	CDS	Mtc1_family_protein	2440689	2440902	1	1	334	334.0	100.0%	complete
contig_2	CDS	MBL_fold_metallo-hydrolase	1871640	1872597	1	1	2544	2544.0	100.0%	complete
contig_2	CDS	EF-hand_domain-containing_protein	4984208	4984658	1	1	355	355.0	100.0%	complete
contig_2	CDS	DNA-binding_response_regulator,_OmpR_family,_contains_REC_and_winged-helix_(WHTH)_domain	793155	793818	1	1	133	133.0	100.0%	complete
contig_2	CDS	LysR_family_transcriptional_regulator	99834	100737	1	1	79	79.0	100.0%	complete
contig_2	CDS	DUF4232_domain-containing_protein	4402901	4403648	1	1	98	98.0	100.0%	complete
contig_2	CDS	DUF2797_domain-containing_protein	4349118	4350054	1	1	225	225.0	100.0%	complete
contig_3	CDS	Transcriptional_regulator_C_ArsR_family	364784	365774	1	1	590	590.0	100.0%	complete
contig_3	CDS	Putative_aldehyde_dehydrogenase	662149	663607	1	1	4187	4187.0	100.0%	complete
contig_2	CDS	bifunctional_RNase_H/acid_phosphatase	2576553	2577747	1	1	827	827.0	100.0%	complete
contig_2	CDS	3-oxoacyl-ACP_reductase	2275108	2275831	1	1	1335	1335.0	100.0%	complete
contig_2	protocluster	azole-containing-RiPP	4370008	4393356	26	26	56359	2167.65	100.0%	complete
contig_2	CDS	Hint_domain-containing_protein	1880655	1887528	1	1	283	283.0	100.0%	complete
contig_2	CDS	PTS_glucose_transporter_subunit_IIA	1329725	1330175	1	1	27380	27380.0	100.0%	complete
contig_3	CDS	Extensin	1556100	1556976	1	0	0	0.0	0.0%	empty
contig_3	CDS	Putative_oligopeptide_ABC_transporter_integral_membrane_protein	2992076	2992934	1	0	0	0.0	0.0%	empty
contig_2	CDS	DNA-binding_protein	4321129	4322167	1	0	0	0.0	0.0%	empty
contig_2	CDS	MerR_family_transcriptional_regulator	484577	485537	1	1	25	25.0	100.0%	complete
contig_2	CDS	50S_ribosomal_protein_L25/general_stress_protein_Ctc	3440154	3440739	1	1	4938	4938.0	100.0%	complete
contig_2	CDS	ABC_transporter_ATP-binding_protein	427826	428681	1	1	237	237.0	100.0%	complete
contig_2	CDS	2-aminoethylphosphonate_ABC_transport_system_C_ATP-binding_component_PhnT	3177204	3178512	1	1	194	194.0	100.0%	complete
contig_3	CDS	Peptidase_S1_domain-containing_protein	1068525	1071543	1	1	21251	21251.0	100.0%	complete
contig_3	CDS	TetR_family_transcriptional_regulator	2735944	2736688	1	1	157	157.0	100.0%	complete
