GeneID	Product
OMCOBO_00060	Barstar (barnase inhibitor) domain-containing protein
OMCOBO_00061	histidine kinase
OMCOBO_00062	DNA-binding response regulator
OMCOBO_00063	DUF3040 domain-containing protein
OMCOBO_00064	DUF402 domain-containing protein
OMCOBO_00065	Peptidase E
OMCOBO_00066	Phosphohistidine phosphatase
OMCOBO_00067	Yip1 domain-containing protein
OMCOBO_00068	SHOCT domain-containing protein
OMCOBO_00069	ATP-dependent zinc metalloprotease FtsH
OMCOBO_00070	Membrane protein SCJ1-26
OMCOBO_00071	Membrane protein
OMCOBO_00072	TetR family transcriptional regulator
OMCOBO_00073	Carboxylesterase
OMCOBO_00074	3-oxoacyl-[acyl-carrier-protein] reductase FabG
OMCOBO_00075	Oxidoreductase
OMCOBO_00076	MFS transporter
OMCOBO_00077	MarR family transcriptional regulator
OMCOBO_00078	Flavin-dependent monooxygenase
OMCOBO_00079	DUF402 domain-containing protein
OMCOBO_00080	rifamycin-inactivating phosphotransferase
OMCOBO_00082	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentape ptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
OMCOBO_00083	Polyprenyl synthetase
OMCOBO_00084	Calcium-binding protein
OMCOBO_00085	2-isopropylmalate synthase
OMCOBO_00086	Sua5/YciO/YrdC/YwlC family protein
OMCOBO_00087	Ricin B lectin domain-containing protein
OMCOBO_00088	Transposase
OMCOBO_00089	Ricin B lectin domain-containing protein
OMCOBO_00090	Lipoprotein
OMCOBO_00091	OLD protein-like TOPRIM domain-containing protein
OMCOBO_00092	Putative N-acetyltransferase
OMCOBO_00093	DUF4328 domain-containing protein
OMCOBO_00094	ArsI/CadI family heavy metal resistance metalloenzyme
OMCOBO_00095	Putative transcriptional regulator, ArsR family protein
OMCOBO_00096	SDR family oxidoreductase
OMCOBO_00097	PadR family transcriptional regulator
OMCOBO_00098	Membrane protein
OMCOBO_00099	hypothetical protein
OMCOBO_00100	RNA polymerase sigma-70 region 2 domain-containing protein
OMCOBO_00101	PEP-CTERM protein-sorting domain-containing protein
OMCOBO_00102	DoxX-like family
OMCOBO_00103	LysR family transcriptional regulator
OMCOBO_00104	Maltokinase N-terminal cap domain-containing protein
OMCOBO_00105	Transcriptional regulator
OMCOBO_00106	Transcriptional regulator
OMCOBO_00107	Polyketide synthase
OMCOBO_00108	Acyl-CoA oxidase
OMCOBO_00109	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 3
OMCOBO_00110	Short-chain dehydrogenase
OMCOBO_00111	Beta-ketoacyl-[acyl-carrier-protein] synthase III
OMCOBO_00112	Acyl carrier protein
OMCOBO_00113	3-oxoacyl-ACP synthase
OMCOBO_00114	Hydrolase
OMCOBO_00115	Zinc-binding alcohol dehydrogenase
OMCOBO_00116	Multifunctional fusion protein
OMCOBO_00117	UbiX family flavin prenyltransferase
OMCOBO_00118	Transcriptional regulator
OMCOBO_00119	Membrane protein
OMCOBO_00120	LysR family transcriptional regulator
OMCOBO_00121	DeoR family transcriptional regulator
OMCOBO_00122	Putative transporter, MFS superfamily
OMCOBO_00123	Mechanosensitive ion channel family protein
OMCOBO_00124	Secreted protein
OMCOBO_00125	TetR family transcriptional regulator
OMCOBO_00126	LysR family transcriptional regulator
OMCOBO_00127	tartrate dehydrogenase
OMCOBO_00128	CAAX amino protease
OMCOBO_00129	GCN5-like N-acetyltransferase
OMCOBO_00130	Calpain catalytic domain-containing protein
OMCOBO_00131	Neutral zinc metalloprotease
OMCOBO_00132	NADPH:quinone reductase
OMCOBO_00133	DUF5133 domain-containing protein
OMCOBO_00134	HipA-like kinase domain-containing protein
OMCOBO_00135	TraSA:integrase fusion protein
OMCOBO_00136	Knr4/Smi1-like domain-containing protein
OMCOBO_00137	Secreted protein
OMCOBO_00138	hypothetical protein
OMCOBO_00139	Serine hydrolase
OMCOBO_00140	LysR family transcriptional regulator
OMCOBO_00141	class A beta-lactamase
OMCOBO_00142	Transposase IS4-like domain-containing protein
OMCOBO_00143	Insertion element IS402-like domain-containing protein
OMCOBO_00144	hypothetical protein
OMCOBO_00145	MarR family transcriptional regulator
OMCOBO_00146	Integral membrane protein
OMCOBO_00147	RNA polymerase sigma factor
OMCOBO_00148	MFS transporter
OMCOBO_00149	MFS transporter
OMCOBO_00150	HTH hxlR-type domain-containing protein
OMCOBO_00151	Acyl-CoA dehydrogenase
OMCOBO_00152	Acetolactate synthase I/II/III large subunit
OMCOBO_00153	Glutamate dehydrogenase
OMCOBO_00154	CoA-binding protein
OMCOBO_00155	Peroxisomal trans-2-enoyl-CoA reductase
OMCOBO_00156	TetR family transcriptional regulator
OMCOBO_00157	Amino acid permease
OMCOBO_00158	HipA-like kinase domain-containing protein
OMCOBO_00159	hypothetical protein
OMCOBO_00160	GNAT family N-acetyltransferase
OMCOBO_00161	hypothetical protein
OMCOBO_00162	SMI1/KNR4 family protein
OMCOBO_00163	hypothetical protein
OMCOBO_00164	DUF4440 domain-containing protein
OMCOBO_00165	EfeO-type cupredoxin-like domain-containing protein
OMCOBO_00166	Integral membrane protein
OMCOBO_00167	Ferric oxidoreductase domain-containing protein
OMCOBO_00168	Type 1 glutamine amidotransferase domain-containing protein
OMCOBO_00169	Alpha/beta hydrolase
OMCOBO_00170	Tc1-like transposase DDE domain-containing protein
OMCOBO_00171	Winged helix-turn helix domain-containing protein
OMCOBO_00172	Hydroxyneurosporene-O-methyltransferase
OMCOBO_00173	NAD(P)-dependent oxidoreductase
OMCOBO_00174	SnoaL-like domain-containing protein
OMCOBO_00175	Transcriptional regulator
OMCOBO_00176	TetR/AcrR family transcriptional regulator
OMCOBO_00177	NADP-dependent oxidoreductase
OMCOBO_00178	hypothetical protein
OMCOBO_00179	CsbD family protein
OMCOBO_00180	AraC family transcriptional regulator
OMCOBO_00181	NAD(P)-dependent oxidoreductase
OMCOBO_00182	Pyridoxamine 5'-phosphate oxidase
OMCOBO_00183	GNAT family N-acetyltransferase
OMCOBO_00184	hypothetical protein
OMCOBO_00185	Methyltransferase type 12
OMCOBO_00186	hypothetical protein
OMCOBO_00187	Erythromycin esterase
OMCOBO_00188	Transposase
OMCOBO_00189	hypothetical protein
OMCOBO_00190	Lipoprotein
OMCOBO_00191	FAD-binding domain-containing protein
OMCOBO_00192	hypothetical protein
OMCOBO_00193	Transcriptional regulator
OMCOBO_00194	Transmembrane transport protein
OMCOBO_00195	ATP-grasp-modified RiPP
OMCOBO_00196	hypothetical protein
OMCOBO_00197	Transcriptional regulator
OMCOBO_00198	hypothetical protein
OMCOBO_00199	TetR family transcriptional regulator
OMCOBO_00200	Ricin-type beta-trefoil lectin domain-like
OMCOBO_00201	Cytochrome P450
OMCOBO_00202	hypothetical protein
OMCOBO_00203	N-acetyltransferase
OMCOBO_00204	Cytochrome
OMCOBO_00205	Transposase
OMCOBO_00206	HD domain-containing protein
OMCOBO_00207	hypothetical protein
OMCOBO_00208	Transcriptional regulator with aminotransferase type sensor, AraC family
OMCOBO_00209	Winged helix-turn helix domain-containing protein
OMCOBO_00210	Tc1-like transposase DDE domain-containing protein
OMCOBO_00211	Non-ribosomal peptide synthetase
OMCOBO_00212	Methyltransferase/methylase
OMCOBO_00213	Tyrosine phenol-lyase
OMCOBO_00214	Transposase
OMCOBO_00215	hypothetical protein
OMCOBO_00216	Serine/threonine protein kinase
OMCOBO_00217	DEAD/DEAH box helicase
OMCOBO_00218	hypothetical protein
OMCOBO_00219	Oxidoreductase
OMCOBO_00220	TetR family transcriptional regulator
OMCOBO_00221	Glutamine amidotransferase type-2 domain-containing protein
OMCOBO_00222	Aryl-phospho-beta-D-glucosidase BglC, GH1 family
OMCOBO_00223	Transglycosylase
OMCOBO_00224	Major cold shock protein CspA
OMCOBO_00225	PASTA domain-containing protein
OMCOBO_00226	Penicillinase repressor
OMCOBO_00227	Peptidase M48
OMCOBO_00228	Diacylglycerol glucosyltransferase N-terminal domain-containing protein
OMCOBO_00229	Polysaccharide deacetylase family protein
OMCOBO_00230	D-amino-acid dehydrogenase
OMCOBO_00231	TetR family transcriptional regulator
OMCOBO_00232	Putative carboxypeptidase
OMCOBO_00233	short chain dehydrogenase
OMCOBO_00234	Isovaleryl-CoA dehydrogenase
OMCOBO_00235	Integral membrane protein
OMCOBO_00236	Cytochrome P450
OMCOBO_00237	Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain protein
OMCOBO_00238	histidine kinase
OMCOBO_00239	Integral membrane protein
OMCOBO_00240	Carboxylic ester hydrolase
OMCOBO_00241	Esterase
OMCOBO_00242	Membrane protein
OMCOBO_00243	MFS transporter
OMCOBO_00244	Methyltransferase
OMCOBO_00245	ribosomal protection-like ABC-F family protein
OMCOBO_00246	Cell wall protein
OMCOBO_00247	DUF2254 domain-containing protein
OMCOBO_00248	FAD-dependent oxidoreductase
OMCOBO_00249	Intracellular septation protein A
OMCOBO_00250	TetR family transcriptional regulator
OMCOBO_00251	hypothetical protein
OMCOBO_00252	Carboxylic ester hydrolase
OMCOBO_00253	TetR family transcriptional regulator
OMCOBO_00254	Glyoxalase
OMCOBO_00255	Transcriptional regulator
OMCOBO_00256	Anti-sigma factor antagonist
OMCOBO_00257	Serine/threonine protein phosphatase
OMCOBO_00258	Cobalamin-binding protein
OMCOBO_00259	Sulfate transporter
OMCOBO_00260	ATP-binding protein
OMCOBO_00261	Anti-sigma factor antagonist
OMCOBO_00262	B/F/G family RNA polymerase sigma-70 factor
OMCOBO_00263	Glycosyl transferase
OMCOBO_00264	OmpR/PhoB-type domain-containing protein
OMCOBO_00265	Subtilin biosynthesis protein spaC
OMCOBO_00266	Lantibiotic
OMCOBO_00267	Lantibiotic dehydratase N-terminal domain-containing protein
OMCOBO_00268	Thiopeptide-type bacteriocin biosynthesis domain-containing protein
OMCOBO_00269	Membrane protein
OMCOBO_00270	Secreted protein
OMCOBO_00271	DUF3558 domain-containing protein
OMCOBO_00272	SH3b domain-containing protein
OMCOBO_00273	Methyltransferase type 11
OMCOBO_00274	TetR family transcriptional regulator
OMCOBO_00275	DUF4344 domain-containing protein
OMCOBO_00276	N-acetyltransferase domain-containing protein
OMCOBO_00277	Membrane protein
OMCOBO_00278	Two-component system response regulator
OMCOBO_00279	histidine kinase
OMCOBO_00280	carbonic anhydrase
OMCOBO_00281	AraC-type arabinose-binding/dimerisation domain-containing protein
OMCOBO_00282	nitric oxide-sensing transcriptional repressor NsrR
OMCOBO_00283	nitric oxide dioxygenase
OMCOBO_00284	Transmembrane protein
OMCOBO_00285	MFS transporter
OMCOBO_00286	SDR family oxidoreductase
OMCOBO_00287	LysR family transcriptional regulator
OMCOBO_00288	TIGR00266 family protein
OMCOBO_00289	Acetyltransferase
OMCOBO_00290	hypothetical protein
OMCOBO_00291	cytochrome c oxidase subunit I
OMCOBO_00292	Histidine kinase
OMCOBO_00293	DNA-binding response regulator
OMCOBO_00294	nitric oxide dioxygenase
OMCOBO_00295	Pyridoxamine 5'-phosphate oxidase
OMCOBO_00296	Dienelactone hydrolase
OMCOBO_00297	Putative sigma factor
OMCOBO_00298	Alkyl hydroperoxide reductase AhpD
OMCOBO_00299	TetR family transcriptional regulator
OMCOBO_00300	Oxidoreductase
OMCOBO_00301	Molybdopterin dehydrogenase
OMCOBO_00302	Oxidoreductase
OMCOBO_00303	Lipoprotein
OMCOBO_00304	DUF3060 domain-containing protein
OMCOBO_00305	Serine hydrolase
OMCOBO_00306	FAD-binding domain-containing protein
OMCOBO_00307	hypothetical protein
OMCOBO_00308	Acyltransferase 3 domain-containing protein
OMCOBO_00309	Ferredoxin
OMCOBO_00310	Pyridine nucleotide-disulfide oxidoreductase
OMCOBO_00311	Cytochrome P450
OMCOBO_00312	N-acetyltransferase domain-containing protein
OMCOBO_00313	Polysaccharide deacetylase
OMCOBO_00314	TetR family transcriptional regulator
OMCOBO_00315	Alpha/beta hydrolase
OMCOBO_00316	4-hydroxybenzoyl-CoA thioesterase
OMCOBO_00317	Histidine phosphatase family protein
OMCOBO_00318	Glycoside hydrolase family 15 protein
OMCOBO_00319	potassium-transporting ATPase subunit KdpB
OMCOBO_00320	Aldehyde oxidase
OMCOBO_00321	DUF4760 domain-containing protein
OMCOBO_00322	Methyltransferase
OMCOBO_00323	Amino acid permease
OMCOBO_00324	Serine protease
OMCOBO_00325	Methyltransferase
OMCOBO_00326	LysR substrate-binding domain-containing protein
OMCOBO_00327	mycothiol transferase
OMCOBO_00328	Phosphoesterase
OMCOBO_00329	Aldehyde dehydrogenase
OMCOBO_00330	AraC family transcriptional regulator
OMCOBO_00331	L,D-TPase catalytic domain-containing protein
OMCOBO_00332	Maleylpyruvate isomerase
OMCOBO_00333	DUF664 domain-containing protein
OMCOBO_00334	Integral membrane protein
OMCOBO_00335	hypothetical protein
OMCOBO_00336	Type II toxin-antitoxin system RelE/ParE family toxin
OMCOBO_00337	Peptidase
OMCOBO_00338	Oxidoreductase
OMCOBO_00339	Putative peptide synthetase MbtE
OMCOBO_00340	CdiI immunity protein domain-containing protein
OMCOBO_00341	GNAT family acetyltransferase
OMCOBO_00342	SAM-dependent methyltransferase
OMCOBO_00343	fluoride efflux transporter CrcB
OMCOBO_00344	UPF0166 protein
OMCOBO_00345	fluoride efflux transporter CrcB
OMCOBO_00346	hypothetical protein
OMCOBO_00347	Amino acid permease
OMCOBO_00348	Integral membrane protein
OMCOBO_00349	Abortive infection protein
OMCOBO_00350	TetR family transcriptional regulator
OMCOBO_00351	hypothetical protein
OMCOBO_00352	Tail protein
OMCOBO_00353	3-hydroxyisobutyrate dehydrogenase
OMCOBO_00354	DNA-binding response regulator
OMCOBO_00355	histidine kinase
OMCOBO_00356	Anti-sigma regulatory factor
OMCOBO_00357	D-alanine glycine permease
OMCOBO_00358	Transcriptional regulatory protein CutR
OMCOBO_00359	SPFH domain-containing protein
OMCOBO_00360	NlpC/P60 domain-containing protein
OMCOBO_00361	Oxidoreductase
OMCOBO_00362	Lipoprotein
OMCOBO_00363	Cupin
OMCOBO_00364	Short-chain dehydrogenase/reductase
OMCOBO_00365	4-carboxymuconolactone decarboxylase
OMCOBO_00366	Transcriptional regulator
OMCOBO_00367	hypothetical protein
OMCOBO_00368	Mn2 or Fe2 transporter
OMCOBO_00369	hypothetical protein
OMCOBO_00370	hypothetical protein
OMCOBO_00371	Transcriptional regulator
OMCOBO_00372	Transcriptional regulator
OMCOBO_00373	MgtC-like C-terminal domain-containing protein
OMCOBO_00374	HTH arsR-type domain-containing protein
OMCOBO_00375	hypothetical protein
OMCOBO_00376	MgtE intracellular region
OMCOBO_00377	Mn2 and fe2 transporters of the nramp family protein
OMCOBO_00378	hypothetical protein
OMCOBO_00379	dihydrolipoyl dehydrogenase
OMCOBO_00380	Membrane protein
OMCOBO_00381	DHA2 family efflux MFS transporter permease subunit
OMCOBO_00382	HTH marR-type domain-containing protein
OMCOBO_00383	50S ribosomal protein bL37
OMCOBO_00384	D-alanine--D-alanine ligase
OMCOBO_00385	hydroxymethylbilane synthase
OMCOBO_00386	Acetyltransferase
OMCOBO_00387	glycine betaine/L-proline transporter ProP
OMCOBO_00388	Class F sortase
OMCOBO_00389	Integral membrane protein
OMCOBO_00390	Haloacid dehalogenase
OMCOBO_00391	Mut7-C ubiquitin
OMCOBO_00392	ATP-dependent zinc metalloprotease FtsH
OMCOBO_00393	Cytochrome P450
OMCOBO_00394	Aspartate/glutamate racemase
OMCOBO_00395	DUF6296 domain-containing protein
OMCOBO_00396	Hydrolase
OMCOBO_00397	SnoaL-like domain-containing protein
OMCOBO_00398	hypothetical protein
OMCOBO_00399	Methylated-DNA--protein-cysteine methyltransferase
OMCOBO_00400	Leucine-binding protein domain-containing protein
OMCOBO_00401	Alkylated DNA repair protein
OMCOBO_00402	DUF2277 domain-containing protein
OMCOBO_00403	Metal-dependent hydrolase
OMCOBO_00404	Putative flavin reductase/monooxygenase
OMCOBO_00405	Serine recombinase
OMCOBO_00406	HTH marR-type domain-containing protein
OMCOBO_00407	IS5 family transposase
OMCOBO_00408	Putative non-ribosomal peptide synthetase PstA
OMCOBO_00409	D-alanine--poly(Phosphoribitol) ligase subunit 2
OMCOBO_00410	Thioesterase domain-containing protein
OMCOBO_00411	Cytochrome
OMCOBO_00412	Taurine catabolism dioxygenase
OMCOBO_00413	hypothetical protein
OMCOBO_00414	hypothetical protein
OMCOBO_00415	Polymerase nucleotidyl transferase domain-containing protein
OMCOBO_00416	Transposase DDE domain-containing protein
OMCOBO_00417	Elongation factor Tu-3
OMCOBO_00418	hypothetical protein
OMCOBO_00419	Polyketide synthase
OMCOBO_00420	Putative short-chain dehydrogenase/reductase
OMCOBO_00421	Short-chain dehydrogenase
OMCOBO_00422	Polyketide synthase
OMCOBO_00423	Putative conserved membrane protein, MmpL family
OMCOBO_00424	hypothetical protein
OMCOBO_00425	Disulfide bond formation protein B
OMCOBO_00426	putative protein
OMCOBO_00427	Transcriptional regulator
OMCOBO_00428	C4-dicarboxylate ABC transporter
OMCOBO_00429	Cytochrome ubiquinol oxidase subunit I
OMCOBO_00430	cytochrome d ubiquinol oxidase subunit II
OMCOBO_00431	3-ketoacyl-ACP reductase
OMCOBO_00432	hypothetical protein
OMCOBO_00433	hypothetical protein
OMCOBO_00434	hypothetical protein
OMCOBO_00435	hypothetical protein
OMCOBO_00437	Transposase
OMCOBO_00438	ABC transporter
OMCOBO_00439	ABC transporter ATP-binding protein
OMCOBO_00440	Transposase
OMCOBO_00441	Putative drug antiporter protein
OMCOBO_00442	MbtH protein
OMCOBO_00443	D-alanine--poly(phosphoribitol) ligase subunit DltA
OMCOBO_00444	Non-ribosomal peptide synthetase
OMCOBO_00445	hypothetical protein
OMCOBO_00446	LuxR family transcriptional regulator
OMCOBO_00447	LuxR family transcriptional regulator
OMCOBO_00448	NmrA family transcriptional regulator
OMCOBO_00449	TetR family transcriptional regulator
OMCOBO_00450	hypothetical protein
OMCOBO_00451	Transposase
OMCOBO_00452	IS5 family transposase
OMCOBO_00453	Putative DNA binding protein
OMCOBO_00454	FAD-binding monooxygenase
OMCOBO_00455	SnoaL-like domain-containing protein
OMCOBO_00456	DUF1211 domain-containing protein
OMCOBO_00457	TetR family transcriptional regulator
OMCOBO_00458	NADP-dependent oxidoreductase
OMCOBO_00459	Short-chain dehydrogenase
OMCOBO_00460	Cupin
OMCOBO_00461	Secreted protein
OMCOBO_00462	Thioredoxin reductase
OMCOBO_00463	histidine kinase
OMCOBO_00464	UBP-type domain-containing protein
OMCOBO_00465	Esterase
OMCOBO_00466	Dehydrogenase
OMCOBO_00467	YCII-related domain-containing protein
OMCOBO_00468	IclR family transcriptional regulator
OMCOBO_00469	Carnitine dehydratase
OMCOBO_00470	Ferredoxin
OMCOBO_00471	FAD-dependent oxidoreductase
OMCOBO_00472	Cytochrome P450
OMCOBO_00473	hypothetical protein
OMCOBO_00474	NADPH:quinone reductase
OMCOBO_00475	Alkyl hydroperoxide reductase AhpD
OMCOBO_00476	Putative glycosyl transferase
OMCOBO_00477	MerR family transcriptional regulator
OMCOBO_00478	HTH gntR-type domain-containing protein
OMCOBO_00479	AB hydrolase-1 domain-containing protein
OMCOBO_00480	TetR family transcriptional regulator
OMCOBO_00481	Carboxylic ester hydrolase
OMCOBO_00482	Pirin
OMCOBO_00483	YbhB/YbcL family Raf kinase inhibitor-like protein
OMCOBO_00484	Glucoamylase
OMCOBO_00485	Methyltransferase type 11
OMCOBO_00486	Lipoprotein
OMCOBO_00487	Oxidoreductase molybdopterin-binding domain-containing protein
OMCOBO_00488	SnoaL-like domain-containing protein
OMCOBO_00489	Alkene reductase
OMCOBO_00490	TetR family regulatory protein
OMCOBO_00491	Hydrolase
OMCOBO_00492	MarR family transcriptional regulator
OMCOBO_00493	LysR family transcriptional regulator
OMCOBO_00494	Carbonyl reductase
OMCOBO_00495	Oxidoreductase
OMCOBO_00496	Transcriptional regulator
OMCOBO_00497	Transcriptional regulator
OMCOBO_00498	Esterase
OMCOBO_00499	HTH araC/xylS-type domain-containing protein
OMCOBO_00500	HTH araC/xylS-type domain-containing protein
OMCOBO_00501	VOC domain-containing protein
OMCOBO_00502	NmrA family transcriptional regulator
OMCOBO_00503	ABC transporter ATP-binding protein
OMCOBO_00504	ABC transporter
OMCOBO_00505	Cytochrome c oxidase assembly protein
OMCOBO_00506	Cytochrome ubiquinol oxidase subunit I
OMCOBO_00507	DNA starvation/stationary phase protection protein
OMCOBO_00508	MFS transporter
OMCOBO_00509	DUF1275 domain-containing protein
OMCOBO_00510	DoxX
OMCOBO_00511	Hydrolase
OMCOBO_00512	Putative amidohydrolase
OMCOBO_00513	Short-chain dehydrogenase
OMCOBO_00514	Short-chain dehydrogenase
OMCOBO_00515	nitrile hydratase subunit beta
OMCOBO_00516	nitrile hydratase subunit alpha
OMCOBO_00517	nitrile hydratase accessory protein
OMCOBO_00518	Carbonic anhydrase
OMCOBO_00519	bifunctional 2-methylcitrate synthase/citrate synthase
OMCOBO_00520	methylisocitrate lyase
OMCOBO_00521	Methylcitrate dehydratase family
OMCOBO_00522	XRE family transcriptional regulator
OMCOBO_00523	DNA-binding protein
OMCOBO_00524	isocitrate lyase
OMCOBO_00525	malate synthase A
OMCOBO_00526	3-hydroxybutyryl-CoA dehydrogenase
OMCOBO_00527	Integral membrane protein
OMCOBO_00528	DoxX family protein
OMCOBO_00529	Pyoverdine biosynthesis protein PvcA
OMCOBO_00530	Cytochrome P450 hydroxylase
OMCOBO_00531	asparagine synthase (glutamine-hydrolyzing)
OMCOBO_00532	MFS transporter
OMCOBO_00533	Metal associated protein
OMCOBO_00534	ABC transporter ATP-binding protein
OMCOBO_00535	Sugar ABC transporter substrate-binding protein
OMCOBO_00536	Lipoprotein
OMCOBO_00537	HTH marR-type domain-containing protein
OMCOBO_00538	MFS transporter
OMCOBO_00539	hypothetical protein
OMCOBO_00540	3-oxoacyl-ACP reductase
OMCOBO_00541	Dehydrogenase
OMCOBO_00542	DNA-directed RNA polymerase sigma-70 factor
OMCOBO_00543	YCII-related domain-containing protein
OMCOBO_00544	Membrane protein
OMCOBO_00545	4Fe-4S ferredoxin-type domain-containing protein
OMCOBO_00546	Calcium-binding protein
OMCOBO_00547	Pilus assembly protein PilA
OMCOBO_00548	Calcium-binding protein
OMCOBO_00549	Alpha-L-arabinofuranosidase B-like protein
OMCOBO_00550	ATP/GTP-binding protein
OMCOBO_00551	PadR family transcriptional regulator
OMCOBO_00552	Prepilin peptidase
OMCOBO_00553	Pilus assembly protein PilA
OMCOBO_00554	Pilus assembly protein PilB
OMCOBO_00555	Pilus assembly protein PilC
OMCOBO_00556	Type II secretion system protein
OMCOBO_00557	Prepilin-type N-terminal cleavage/methylation domain-containing protein
OMCOBO_00558	Flp pilus-assembly TadG-like N-terminal domain-containing protein
OMCOBO_00559	Twitching motility protein PilT
OMCOBO_00560	DNA-directed RNA polymerase subunit alpha
OMCOBO_00561	4-oxalocrotonate tautomerase-like domain-containing protein
OMCOBO_00562	DNA-binding protein
OMCOBO_00563	ABC transporter ATP-binding protein
OMCOBO_00564	ABC transporter permease
OMCOBO_00565	Metal transporter
OMCOBO_00566	Solute-binding protein
OMCOBO_00567	Methyltransferase
OMCOBO_00568	Putative ABC transporter, permease protein
OMCOBO_00569	Dipeptide epimerase
OMCOBO_00570	Putative cysteine synthase A CysK2
OMCOBO_00571	Putative heavy-metal chelation domain-containing protein
OMCOBO_00572	Carboxylase
OMCOBO_00573	Tripeptidyl aminopeptidase
OMCOBO_00574	NAD kinase
OMCOBO_00575	Putative hydrolase, alpha/beta fold protein
OMCOBO_00576	Carbonic anhydrase
OMCOBO_00577	Multicopper oxidase MmcO
OMCOBO_00578	hypothetical protein
OMCOBO_00579	Phosphotyrosine protein phosphatase I domain-containing protein
OMCOBO_00580	hypothetical protein
OMCOBO_00581	Shikimate 5-dehydrogenase
OMCOBO_00582	Avidin family protein
OMCOBO_00583	hypothetical protein
OMCOBO_00584	Acyl-CoA dehydrogenase
OMCOBO_00585	EfeO-type cupredoxin-like domain-containing protein
OMCOBO_00586	MFS transporter
OMCOBO_00587	Acyl-CoA dehydrogenase FadE26
OMCOBO_00588	Enoyl-CoA hydratase
OMCOBO_00589	Putative acyl-CoA dehydrogenase FadE
OMCOBO_00590	Putative acyl-CoA dehydrogenase FadE
OMCOBO_00591	Acyl-CoA dehydrogenase
OMCOBO_00592	Putative fatty-acid-CoA ligase FadD
OMCOBO_00593	Lipoprotein
OMCOBO_00594	Acyl-CoA synthetase
OMCOBO_00595	Cyclase
OMCOBO_00596	GntR family transcriptional regulator
OMCOBO_00597	Iron-dependent peroxidase
OMCOBO_00598	Periplasmic copper-binding protein NosD beta helix domain-containing protein
OMCOBO_00599	Lipoprotein LprG
OMCOBO_00600	SD-repeat containing protein B domain-containing protein
OMCOBO_00601	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
OMCOBO_00602	UDP-glucose 6-dehydrogenase
OMCOBO_00603	Glycosyltransferase WbuB
OMCOBO_00604	Membrane-bound polysaccharide biosynthesis protein
OMCOBO_00605	Membrane-bound polysaccharide biosynthesis protein
OMCOBO_00606	asparagine synthase (glutamine-hydrolyzing)
OMCOBO_00607	Oxidoreductase
OMCOBO_00608	Heparinase
OMCOBO_00609	Lipoprotein
OMCOBO_00610	Membrane protein
OMCOBO_00611	Glycosyl transferase
OMCOBO_00612	Bifunctional 3-demethylubiquinone-9 3-methyltransferase/ 2-octaprenyl-6-hydroxy phenol methylase
OMCOBO_00613	Transferase
OMCOBO_00614	GlcNAc-PI de-N-acetylase
OMCOBO_00615	NAD-dependent dehydratase
