Region_,Cluster_type_,Cluster-Name_,Start_,End_,Genes_total_,Completeness_crude glycerol pH4,Completeness_crude glycerol pH7,Completeness_pure glycerol pH7,Genes_expressed_crude glycerol pH4,Genes_expressed_crude glycerol pH7,Genes_expressed_pure glycerol pH7,Reads_total_crude glycerol pH4,Reads_total_crude glycerol pH7,Reads_total_pure glycerol pH7
contig_2,CDS,5-dehydro-2-deoxygluconokinase,2999868,3000861,1,100.0%,100.0%,100.0%,1,1,1,85,119,233
contig_2,CDS,5-deoxy-glucuronate_isomerase,2997821,2998823,1,100.0%,100.0%,100.0%,1,1,1,1172,730,344
contig_2,CDS,5-formyltetrahydrofolate_cyclo-ligase,3511530,3512163,1,100.0%,100.0%,100.0%,1,1,1,53,135,245
contig_2,CDS,5-methyltetrahydropteroyltriglutamate--homocystei_ne_S-methyltransferase,830419,832729,1,100.0%,100.0%,100.0%,1,1,1,1140,8961,24476
contig_2,CDS,5-methylthioadenosine_deaminase,5328395,5329808,1,100.0%,100.0%,100.0%,1,1,1,343,47,397
contig_2,CDS,5-oxoprolinase,1368596,1372217,1,100.0%,100.0%,100.0%,1,1,1,2239,380,895
contig_2,CDS,5-oxoprolinase_subunit_A,1366084,1366861,1,100.0%,100.0%,100.0%,1,1,1,377,46,10
contig_2,CDS,5-oxoprolinase_subunit_PxpB,1366857,1367604,1,100.0%,100.0%,100.0%,1,1,1,88,20,12
contig_2,CDS,50S_ribosomal_protein_L1,3722252,3722969,1,100.0%,100.0%,100.0%,1,1,1,58696,121878,95120
contig_2,CDS,50S_ribosomal_protein_L10,3720372,3720903,1,100.0%,100.0%,100.0%,1,1,1,64626,188085,130787
contig_2,CDS,50S_ribosomal_protein_L11,3723078,3723513,1,100.0%,100.0%,100.0%,1,1,1,28947,71718,75768
contig_2,CDS,50S_ribosomal_protein_L13,3686246,3686690,1,100.0%,100.0%,100.0%,1,1,1,38126,41606,56852
contig_2,CDS,50S_ribosomal_protein_L14,3700145,3700514,1,100.0%,100.0%,100.0%,1,1,1,19721,51343,36967
contig_2,CDS,50S_ribosomal_protein_L15,3696193,3696649,1,100.0%,100.0%,100.0%,1,1,1,72692,192835,224149
contig_2,CDS,50S_ribosomal_protein_L16,3701160,3701580,1,100.0%,100.0%,100.0%,1,1,1,56824,106202,112589
contig_2,CDS,50S_ribosomal_protein_L17,3688974,3689439,1,100.0%,100.0%,100.0%,1,1,1,27029,42059,60323
contig_2,CDS,50S_ribosomal_protein_L18,3697481,3697865,1,100.0%,100.0%,100.0%,1,1,1,19694,65746,46679
contig_2,CDS,50S_ribosomal_protein_L19,4992846,4993128,1,100.0%,100.0%,0.0%,1,1,0,13,11,0
contig_2,CDS,50S_ribosomal_protein_L2,3703095,3703932,1,100.0%,100.0%,100.0%,1,1,1,136544,275416,257643
contig_2,CDS,50S_ribosomal_protein_L20,1762479,1762866,1,100.0%,100.0%,100.0%,1,1,1,12690,32362,21520
contig_2,CDS,50S_ribosomal_protein_L21,2878999,2879320,1,100.0%,100.0%,100.0%,1,1,1,14212,23657,18058
contig_2,CDS,50S_ribosomal_protein_L22,3702409,3702781,1,100.0%,100.0%,100.0%,1,1,1,39201,95519,94528
contig_2,CDS,50S_ribosomal_protein_L23,3703971,3704295,1,100.0%,100.0%,100.0%,1,1,1,101331,146713,138753
contig_2,CDS,50S_ribosomal_protein_L24,3699818,3700142,1,100.0%,100.0%,100.0%,1,1,1,11298,32016,23177
contig_2,CDS,50S_ribosomal_protein_L25/general_stress_protein_Ctc,3440154,3440739,1,100.0%,100.0%,100.0%,1,1,1,2232,10696,4938
contig_2,CDS,50S_ribosomal_protein_L27,2878727,2878985,1,100.0%,100.0%,100.0%,1,1,1,10112,21062,18965
contig_2,CDS,50S_ribosomal_protein_L28,4578689,4578926,1,100.0%,100.0%,100.0%,1,1,1,1971,107,157070
contig_2,CDS,50S_ribosomal_protein_L29,3700936,3701161,1,100.0%,100.0%,100.0%,1,1,1,10833,21261,23576
contig_2,CDS,50S_ribosomal_protein_L3,3704953,3705598,1,100.0%,100.0%,100.0%,1,1,1,91465,114238,115915
contig_2,CDS,50S_ribosomal_protein_L30,3696650,3696833,1,100.0%,100.0%,100.0%,1,1,1,6860,22019,18597
contig_2,CDS,50S_ribosomal_protein_L32,4393671,4393842,1,100.0%,0.0%,100.0%,1,0,1,154,0,3398
contig_2,CDS,50S_ribosomal_protein_L33,3729825,3729990,1,100.0%,100.0%,100.0%,1,1,1,7708,2017,2729
contig_2,CDS,50S_ribosomal_protein_L33,4579000,4579165,1,100.0%,100.0%,100.0%,1,1,1,141,23,4135
contig_2,CDS,50S_ribosomal_protein_L35,1762972,1763167,1,100.0%,100.0%,100.0%,1,1,1,3610,10383,5224
contig_2,CDS,50S_ribosomal_protein_L36,3692467,3692581,1,100.0%,100.0%,100.0%,1,1,1,67992,61960,67978
contig_2,CDS,50S_ribosomal_protein_L4,3704294,3704945,1,100.0%,100.0%,100.0%,1,1,1,64517,114310,77435
contig_2,CDS,50S_ribosomal_protein_L5,3699258,3699819,1,100.0%,100.0%,100.0%,1,1,1,64871,152898,133860
contig_2,CDS,50S_ribosomal_protein_L6,3697868,3698408,1,100.0%,100.0%,100.0%,1,1,1,102916,218037,209210
contig_2,CDS,50S_ribosomal_protein_L7/L12,3719878,3720265,1,100.0%,100.0%,100.0%,1,1,1,29647,99432,69073
contig_2,CDS,50S_ribosomal_protein_L9,4206351,4206798,1,100.0%,100.0%,100.0%,1,1,1,20725,59753,51133
contig_2,CDS,50S_ribosomal_protein_bL37,361946,362153,1,100.0%,0.0%,100.0%,1,0,1,16,0,5
contig_2,CDS,"6,7-dimethyl-8-ribityllumazine_synthase",1580920,1581406,1,100.0%,100.0%,100.0%,1,1,1,999,1208,429
contig_2,CDS,"6-carboxy-5,6,7,8-tetrahydropterin_synthase",1178075,1178474,1,100.0%,100.0%,100.0%,1,1,1,145,337,46
contig_2,CDS,6-phospho-beta-glucosidase,2951043,2952516,1,100.0%,100.0%,100.0%,1,1,1,450,430,786
contig_2,CDS,6-phosphogluconolactonase,2164169,2164976,1,100.0%,100.0%,100.0%,1,1,1,1413,2644,1369
contig_2,CDS,8-oxo-dGTP_diphosphatase,5324362,5324791,1,100.0%,100.0%,100.0%,1,1,1,664,234,801
contig_2,CDS,AAA+_ATPase_domain-containing_protein,1574483,1576385,1,100.0%,100.0%,100.0%,1,1,1,4156,596,738
contig_2,CDS,AAA+_ATPase_domain-containing_protein,2004431,2006537,1,100.0%,100.0%,100.0%,1,1,1,1178,318,808
contig_2,CDS,AAA+_ATPase_domain-containing_protein,3288042,3289008,1,100.0%,100.0%,100.0%,1,1,1,3773,2879,937
contig_2,CDS,AAA+_ATPase_domain-containing_protein,5235777,5239062,1,100.0%,100.0%,100.0%,1,1,1,2577,2282,1645
contig_2,CDS,AAA_family_ATPase,1480828,1483252,1,100.0%,100.0%,100.0%,1,1,1,3445,2226,1284
contig_2,CDS,AAA_family_ATPase,4503647,4507667,1,100.0%,100.0%,100.0%,1,1,1,2202,2328,2368
contig_2,CDS,AAA_family_ATPase,4514548,4515526,1,100.0%,100.0%,100.0%,1,1,1,1897,273,341
contig_2,CDS,AAA_family_ATPase,4868450,4870547,1,100.0%,100.0%,100.0%,1,1,1,3241,1075,437
contig_2,CDS,ABC-2_type_transport_system_ATP-binding_protein,2152450,2153413,1,100.0%,100.0%,100.0%,1,1,1,1198,645,916
contig_2,CDS,ABC-2_type_transporter,3032372,3034577,1,100.0%,100.0%,100.0%,1,1,1,3247,5991,11957
contig_2,CDS,ABC-2_type_transporter_transmembrane_domain-containing_protein,2362304,2364512,1,100.0%,100.0%,100.0%,1,1,1,645,128,158
contig_2,CDS,ABC_transporter,425226,427773,1,100.0%,100.0%,100.0%,1,1,1,356,498,485
contig_2,CDS,ABC_transporter,517564,519301,1,100.0%,0.0%,100.0%,1,0,1,9,0,11
contig_2,CDS,ABC_transporter,949313,951254,1,100.0%,100.0%,100.0%,1,1,1,543,248,2
contig_2,CDS,ABC_transporter,1194385,1196353,1,100.0%,100.0%,100.0%,1,1,1,1880,1033,1408
