Species,Contigs,Accession,Status,TaxID
Streptomyces acidiscabies,122,GCF_033795045.1,Scaffold,42234
Streptomyces acidiscabies,278,GCF_001485105.1,Scaffold,42234
Streptomyces acidiscabies,47,GCF_001189015.1,Scaffold,42234
Streptomyces acidiscabies,118,GCF_033793405.1,Scaffold,42234
Streptomyces acidiscabies,3,GCF_036873705.1,Complete Genome,42234
Streptomyces acidiscabies,1,GCF_036873425.1,Complete Genome,42234
Streptomyces acidiscabies,1957,GCA_002150705.1,Scaffold,42234
Streptomyces acidiscabies,189,GCF_033793055.1,Scaffold,42234
Streptomyces actinocidus,2,GCA_046118695.1,Complete Genome,657275
Streptomyces actinomycinicus,76,GCF_042431885.1,Scaffold,1695166
Streptomyces actuosus,1,GCF_003208035.1,Complete Genome,1885
Streptomyces aculeolatus,779,GCA_039533045.1,Scaffold,270689
Streptomyces adonidis,178,GCF_041021105.1,Scaffold,3231367
Streptomyces adustus,68,GCF_043201655.1,Scaffold,1609272
Streptomyces adustus,83,GCF_042265305.1,Scaffold,1609272
Streptomyces afghaniensis,25,GCF_044327915.1,Scaffold,66865
Streptomyces afghaniensis,1726,GCF_000415505.1,Scaffold,1283301
Streptomyces afghaniensis,35,GCF_044544585.1,Scaffold,66865
Streptomyces afghaniensis,29,GCF_044328285.1,Scaffold,66865
Streptomyces afghaniensis,68,GCF_040613695.1,Scaffold,66865
Streptomyces africanus,736,GCF_002150735.1,Scaffold,231024
Streptomyces aidingensis,43,GCF_900112355.1,Scaffold,910347
Streptomyces akebiae,2,GCF_019599145.1,Complete Genome,2865673
Streptomyces albaduncus,48,GCF_014203495.1,Scaffold,68172
Streptomyces albaduncus,111,GCF_014650615.1,Scaffold,68172
Streptomyces albiaxialis,48,GCF_039530985.1,Scaffold,329523
Streptomyces albicerus,200,GCF_008905045.1,Scaffold,2569859
Streptomyces albidocamelliae,3,GCF_025642175.1,Complete Genome,2981135
Streptomyces albidochromogenes,99,GCF_039529395.1,Scaffold,329524
Streptomyces albidochromogenes,510,GCF_042723715.1,Scaffold,329524
Streptomyces albidoflavus,102,GCF_049844815.1,Scaffold,1886
Streptomyces albidoflavus,123,GCA_042802435.1,Scaffold,1886
Streptomyces albidoflavus,698,GCA_042802095.1,Scaffold,1886
Streptomyces albidoflavus,3,GCF_041438585.1,Complete Genome,1886
Streptomyces albidoflavus,80,GCA_042801075.1,Scaffold,1886
Streptomyces albidoflavus,2,GCF_041438605.1,Complete Genome,1886
Streptomyces albidoflavus,1500,GCA_042733075.1,Scaffold,1886
Streptomyces albidoflavus,60,GCA_042800725.1,Scaffold,1886
Streptomyces albidoflavus,2,GCF_041438665.1,Complete Genome,1886
Streptomyces albidoflavus,476,GCA_042800255.1,Scaffold,1886
Streptomyces albidoflavus,2,GCF_041438825.1,Complete Genome,1886
Streptomyces albidoflavus,555,GCA_042733255.1,Scaffold,1886
Streptomyces albidoflavus,353,GCA_042728875.1,Scaffold,1886
Streptomyces albidoflavus,30,GCA_042799075.1,Scaffold,1886
Streptomyces albidoflavus,3,GCA_041435375.1,Chromosome,1886
Streptomyces albidoflavus,32,GCA_042798955.1,Scaffold,1886
Streptomyces albidoflavus,172,GCA_042733565.1,Scaffold,1886
Streptomyces albidoflavus,467,GCA_042731965.1,Scaffold,1886
Streptomyces albidoflavus,28,GCA_042798375.1,Scaffold,1886
Streptomyces albidoflavus,2,GCF_041438845.1,Complete Genome,1886
Streptomyces albidoflavus,43,GCA_044742265.1,Scaffold,1886
Streptomyces albidoflavus,2,GCF_006378235.1,Complete Genome,1886
Streptomyces albidoflavus,37,GCA_044742225.1,Scaffold,1886
Streptomyces albidoflavus,89,GCA_042728715.1,Scaffold,1886
Streptomyces albidoflavus,1,GCF_045039795.1,Complete Genome,1886
Streptomyces albidoflavus,95,GCF_007896905.1,Scaffold,1886
Streptomyces albidoflavus,226,GCA_042745745.1,Scaffold,1886
Streptomyces albidoflavus,55,GCA_044328645.1,Scaffold,1886
Streptomyces albidoflavus,69,GCA_044329075.1,Scaffold,1886
Streptomyces albidoflavus,45,GCA_044331605.1,Scaffold,1886
Streptomyces albidoflavus,27,GCA_044747245.1,Scaffold,1886
Streptomyces albidoflavus,73,GCF_040680315.1,Scaffold,1886
Streptomyces albidoflavus,43,GCA_042869735.1,Scaffold,1886
Streptomyces albidoflavus,70,GCF_040681755.1,Scaffold,1886
Streptomyces albidoflavus,50,GCA_044331105.1,Scaffold,1886
Streptomyces albidoflavus,41,GCA_044745685.1,Scaffold,1886
Streptomyces albidoflavus,196,GCF_040685675.1,Scaffold,1886
Streptomyces albidoflavus,47,GCA_044333875.1,Scaffold,1886
Streptomyces albidoflavus,84,GCA_042869315.1,Scaffold,1886
Streptomyces albidoflavus,84,GCF_040685755.1,Scaffold,1886
Streptomyces albidoflavus,45,GCF_040701785.1,Scaffold,1886
Streptomyces albidoflavus,322,GCF_040701885.1,Scaffold,1886
Streptomyces albidoflavus,116,GCF_040701985.1,Scaffold,1886
Streptomyces albidoflavus,94,GCA_044391435.1,Scaffold,1886
Streptomyces albidoflavus,81,GCF_040702625.1,Scaffold,1886
Streptomyces albidoflavus,1,GCF_045039995.1,Complete Genome,1886
Streptomyces albidoflavus,97,GCF_040703575.1,Scaffold,1886
Streptomyces albidoflavus,77,GCA_044329975.1,Scaffold,1886
Streptomyces albidoflavus,76,GCF_040703655.1,Scaffold,1886
Streptomyces albidoflavus,49,GCF_040706455.1,Scaffold,1886
Streptomyces albidoflavus,1,GCF_026636035.1,Complete Genome,1886
Streptomyces albidoflavus,431,GCA_042803125.1,Scaffold,1886
Streptomyces albidoflavus,346,GCA_042803075.1,Scaffold,1886
Streptomyces albidoflavus,1,GCF_026635925.1,Complete Genome,1886
Streptomyces albidoflavus,35,GCA_044329715.1,Scaffold,1886
Streptomyces albidoflavus,42,GCA_044329585.1,Scaffold,1886
Streptomyces albidoflavus,3,GCF_947311705.1,Complete Genome,1886
Streptomyces albidoflavus,175,GCA_042728205.1,Scaffold,1886
Streptomyces albidoflavus,87,GCF_049847085.1,Scaffold,1886
Streptomyces albidoflavus,110,GCA_042745435.1,Scaffold,1886
Streptomyces albidoflavus,1,GCF_019286295.1,Chromosome,1886
Streptomyces albidoflavus,1,GCF_019286195.1,Chromosome,1886
Streptomyces albidoflavus,2,GCF_019219685.1,Scaffold,1886
Streptomyces albidoflavus,228,GCA_042670965.1,Scaffold,1886
Streptomyces albidoflavus,142,GCA_042718555.1,Scaffold,1886
Streptomyces albidoflavus,5,GCF_019219645.1,Scaffold,1886
Streptomyces albidoflavus,1414,GCA_042671305.1,Scaffold,1886
Streptomyces albidoflavus,1038,GCA_042741015.1,Scaffold,1886
Streptomyces albidoflavus,120,GCA_042718275.1,Scaffold,1886
Streptomyces albidoflavus,1,GCF_013693715.1,Complete Genome,1886
Streptomyces albidoflavus,39,GCA_044544505.1,Scaffold,1886
Streptomyces albidoflavus,147,GCA_042749215.1,Scaffold,1886
Streptomyces albidoflavus,121,GCA_042749145.1,Scaffold,1886
Streptomyces albidoflavus,18,GCA_044541225.1,Scaffold,1886
Streptomyces albidoflavus,237,GCA_042742415.1,Scaffold,1886
Streptomyces albidoflavus,844,GCA_042747465.1,Scaffold,1886
Streptomyces albidoflavus,59,GCA_044544465.1,Scaffold,1886
Streptomyces albidoflavus,99,GCA_042747405.1,Scaffold,1886
Streptomyces albidoflavus,165,GCA_042672805.1,Scaffold,1886
Streptomyces albidoflavus,181,GCA_042746675.1,Scaffold,1886
Streptomyces albidoflavus,258,GCA_042673625.1,Scaffold,1886
Streptomyces albidoflavus,96,GCA_042673645.1,Scaffold,1886
Streptomyces albidoflavus,2,GCF_042447705.1,Complete Genome,1886
Streptomyces albidoflavus,200,GCA_042673705.1,Scaffold,1886
Streptomyces albidoflavus,215,GCA_042714795.1,Scaffold,1886
Streptomyces albidoflavus,109,GCA_042745965.1,Scaffold,1886
Streptomyces albidoflavus,71,GCA_042745335.1,Scaffold,1886
Streptomyces albidoflavus,48,GCA_042718595.1,Scaffold,1886
Streptomyces albidoflavus,2,GCF_045039635.1,Complete Genome,1886
Streptomyces albidoflavus,125,GCA_042670905.1,Scaffold,1886
Streptomyces albidoflavus,53,GCA_044540465.1,Scaffold,1886
Streptomyces albidoflavus,138,GCA_042755045.1,Scaffold,1886
Streptomyces albidoflavus,68,GCA_044741945.1,Scaffold,1886
Streptomyces albidoflavus,67,GCF_049856095.1,Scaffold,1886
Streptomyces albidoflavus,1,GCF_015601545.1,Complete Genome,1886
Streptomyces albidoflavus,114,GCF_023502165.1,Scaffold,1886
Streptomyces albidoflavus,180,GCF_042270365.1,Scaffold,1886
Streptomyces albidoflavus,316,GCA_042270905.1,Scaffold,1886
Streptomyces albidoflavus,289,GCA_042719215.1,Scaffold,1886
Streptomyces albidoflavus,36,GCA_044741805.1,Scaffold,1886
Streptomyces albidoflavus,206,GCA_042753335.1,Scaffold,1886
Streptomyces albidoflavus,39,GCA_042753275.1,Scaffold,1886
Streptomyces albidoflavus,108,GCA_042719035.1,Scaffold,1886
Streptomyces albidoflavus,40,GCA_042753145.1,Scaffold,1886
Streptomyces albidoflavus,124,GCA_042752935.1,Scaffold,1886
Streptomyces albidoflavus,298,GCA_042752815.1,Scaffold,1886
Streptomyces albidoflavus,130,GCA_042718525.1,Scaffold,1886
Streptomyces albidoflavus,66,GCA_044741465.1,Scaffold,1886
Streptomyces albidoflavus,68,GCA_044465945.1,Scaffold,1886
Streptomyces albidoflavus,159,GCA_042736015.1,Scaffold,1886
Streptomyces albidoflavus,135,GCA_042718895.1,Scaffold,1886
Streptomyces albidoflavus,63,GCA_044741245.1,Scaffold,1886
Streptomyces albidoflavus,252,GCA_042669165.1,Scaffold,1886
Streptomyces albidoflavus,212,GCA_042669345.1,Scaffold,1886
Streptomyces albidoflavus,2,GCF_038242915.1,Complete Genome,1886
Streptomyces albidoflavus,60,GCA_042718855.1,Scaffold,1886
Streptomyces albidoflavus,84,GCA_042718775.1,Scaffold,1886
Streptomyces albidoflavus,1,GCF_038662715.1,Complete Genome,1886
Streptomyces albidoflavus,84,GCA_042718735.1,Scaffold,1886
Streptomyces albidoflavus,71,GCF_040677855.1,Scaffold,1886
Streptomyces albidoflavus,30,GCA_044747645.1,Scaffold,1886
Streptomyces albidoflavus,25,GCA_044747565.1,Scaffold,1886
Streptomyces albidoflavus,36,GCA_042902085.1,Scaffold,1886
Streptomyces albidoflavus,200,GCF_040629865.1,Scaffold,1886
Streptomyces albidoflavus,45,GCA_042902565.1,Scaffold,1886
Streptomyces albidoflavus,41,GCF_040628955.1,Scaffold,1886
Streptomyces albidoflavus,1,GCF_000359525.1,Complete Genome,1886
Streptomyces albidoflavus,206,GCF_040613195.1,Scaffold,1886
Streptomyces albidoflavus,2,GCF_045277015.1,Complete Genome,1886
Streptomyces albidoflavus,1498,GCF_040613135.1,Scaffold,1886
Streptomyces albidoflavus,49,GCA_044759365.1,Scaffold,1886
Streptomyces albidoflavus,29,GCA_044759185.1,Scaffold,1886
Streptomyces albidoflavus,64,GCF_040609495.1,Scaffold,1886
Streptomyces albidoflavus,35,GCA_042957245.1,Scaffold,1886
Streptomyces albidoflavus,34,GCF_040609275.1,Scaffold,1886
Streptomyces albidoflavus,34,GCA_043202955.1,Scaffold,1886
Streptomyces albidoflavus,81,GCA_044762445.1,Scaffold,1886
Streptomyces albidoflavus,237,GCF_040606295.1,Scaffold,1886
Streptomyces albidoflavus,1,GCF_045277005.1,Complete Genome,1886
Streptomyces albidoflavus,2,GCF_045276985.1,Complete Genome,1886
Streptomyces albidoflavus,98,GCF_040634315.1,Scaffold,1886
Streptomyces albidoflavus,1,GCF_034479045.1,Complete Genome,1886
Streptomyces albidoflavus,4,GCF_047784865.1,Scaffold,1886
Streptomyces albidoflavus,58,GCA_044757275.1,Scaffold,1886
Streptomyces albidoflavus,37,GCA_042901145.1,Scaffold,1886
Streptomyces albidoflavus,93,GCF_040633215.1,Scaffold,1886
Streptomyces albidoflavus,144,GCF_040630285.1,Scaffold,1886
Streptomyces albidoflavus,1,GCF_030345275.1,Complete Genome,1886
Streptomyces albidoflavus,849,GCA_040633035.1,Scaffold,1886
Streptomyces albidoflavus,4,GCA_045210095.1,Complete Genome,1886
Streptomyces albidoflavus,2,GCF_045210185.1,Complete Genome,1886
Streptomyces albidoflavus,3,GCF_045276955.1,Complete Genome,1886
Streptomyces albidoflavus,2,GCF_035955795.1,Complete Genome,1886
Streptomyces albidoflavus,32,GCA_044742705.1,Scaffold,1886
Streptomyces albidoflavus,44,GCA_042901165.1,Scaffold,1886
Streptomyces albidoflavus,2,GCF_045209765.1,Complete Genome,1886
Streptomyces albidoflavus,39,GCA_042954995.1,Scaffold,1886
Streptomyces albidoflavus,77,GCF_040606265.1,Scaffold,1886
Streptomyces albidoflavus,36,GCA_043079625.1,Scaffold,1886
Streptomyces albidoflavus,43,GCA_044765505.1,Scaffold,1886
Streptomyces albidoflavus,40,GCA_043081355.1,Scaffold,1886
Streptomyces albidoflavus,70,GCF_040300445.1,Scaffold,1886
Streptomyces albidoflavus,91,GCF_040300425.1,Scaffold,1886
Streptomyces albidoflavus,756,GCF_040300205.1,Scaffold,1886
Streptomyces albidoflavus,77,GCF_040302045.1,Scaffold,1886
Streptomyces albidoflavus,47,GCA_043083505.1,Scaffold,1886
Streptomyces albidoflavus,40,GCA_043088665.1,Scaffold,1886
Streptomyces albidoflavus,41,GCA_043089145.1,Scaffold,1886
Streptomyces albidoflavus,87,GCA_043089225.1,Scaffold,1886
Streptomyces albidoflavus,2,GCF_000156475.1,Scaffold,1886
Streptomyces albidoflavus,53,GCA_043089285.1,Scaffold,1886
Streptomyces albidoflavus,28,GCA_043198395.1,Scaffold,1886
Streptomyces albidoflavus,71,GCF_040297505.1,Scaffold,1886
Streptomyces albidoflavus,38,GCA_042955095.1,Scaffold,1886
Streptomyces albidoflavus,27,GCA_043078945.1,Scaffold,1886
Streptomyces albidoflavus,47,GCA_043078745.1,Scaffold,1886
Streptomyces albidoflavus,20,GCA_042956205.1,Scaffold,1886
Streptomyces albidoflavus,49,GCA_042956325.1,Scaffold,1886
Streptomyces albidoflavus,81,GCF_040606235.1,Scaffold,1886
Streptomyces albidoflavus,1,GCF_036238395.1,Complete Genome,1886
Streptomyces albidoflavus,1,GCF_036239155.1,Complete Genome,1886
Streptomyces albidoflavus,78,GCF_040303845.1,Scaffold,1886
Streptomyces albidoflavus,30,GCA_043078925.1,Scaffold,1886
Streptomyces albidoflavus,67,GCA_043078305.1,Scaffold,1886
Streptomyces albidoflavus,1,GCF_036247045.1,Complete Genome,1886
Streptomyces albidoflavus,92,GCF_040303165.1,Scaffold,1886
Streptomyces albidoflavus,284,GCF_040302805.1,Scaffold,1886
Streptomyces albidoflavus,40,GCA_043078605.1,Scaffold,1886
Streptomyces albidoflavus,40,GCA_043078625.1,Scaffold,1886
Streptomyces albidoflavus,37,GCA_043078685.1,Scaffold,1886
Streptomyces albidoflavus,43,GCA_043078405.1,Scaffold,1886
Streptomyces albidoflavus,26,GCA_042900685.1,Scaffold,1886
Streptomyces albidoflavus,76,GCF_040633095.1,Scaffold,1886
Streptomyces albidoflavus,103,GCF_040634665.1,Scaffold,1886
Streptomyces albidoflavus,101,GCA_042884675.1,Scaffold,1886
Streptomyces albidoflavus,65,GCA_042884715.1,Scaffold,1886
Streptomyces albidoflavus,334,GCF_900171555.1,Scaffold,1886
Streptomyces albidoflavus,68,GCA_042884875.1,Scaffold,1886
Streptomyces albidoflavus,63,GCA_044753025.1,Scaffold,1886
Streptomyces albidoflavus,68,GCF_040640855.1,Scaffold,1886
Streptomyces albidoflavus,102,GCF_040641535.1,Scaffold,1886
Streptomyces albidoflavus,39,GCF_040637815.1,Scaffold,1886
Streptomyces albidoflavus,85,GCA_042886115.1,Scaffold,1886
Streptomyces albidoflavus,86,GCA_042886895.1,Scaffold,1886
Streptomyces albidoflavus,50,GCF_001865795.1,Scaffold,1886
Streptomyces albidoflavus,181,GCF_040634615.1,Scaffold,1886
Streptomyces albidoflavus,99,GCF_040636535.1,Scaffold,1886
Streptomyces albidoflavus,4,GCF_049489975.1,Complete Genome,1886
Streptomyces albidoflavus,72,GCA_042884975.1,Scaffold,1886
Streptomyces albidoflavus,87,GCF_040635945.1,Scaffold,1886
Streptomyces albidoflavus,72,GCF_040642355.1,Scaffold,1886
Streptomyces albidoflavus,66,GCF_040644275.1,Scaffold,1886
Streptomyces albidoflavus,27,GCA_044747585.1,Scaffold,1886
Streptomyces albidoflavus,58,GCF_040677835.1,Scaffold,1886
Streptomyces albidoflavus,1153,GCF_002289305.1,Scaffold,1886
Streptomyces albidoflavus,134,GCF_040677795.1,Scaffold,1886
Streptomyces albidoflavus,92,GCA_044331955.1,Scaffold,1886
Streptomyces albidoflavus,129,GCF_040677505.1,Scaffold,1886
Streptomyces albidoflavus,51,GCA_040643655.1,Scaffold,1886
Streptomyces albidoflavus,37,GCA_044749785.1,Scaffold,1886
Streptomyces albidoflavus,40,GCF_040646775.1,Scaffold,1886
Streptomyces albidoflavus,28,GCA_044750325.1,Scaffold,1886
Streptomyces albidoflavus,65,GCA_042884225.1,Scaffold,1886
Streptomyces albidoflavus,128,GCF_040644835.1,Scaffold,1886
Streptomyces albidoflavus,196,GCF_040644815.1,Scaffold,1886
Streptomyces albidoflavus,58,GCF_040644335.1,Scaffold,1886
Streptomyces albidoflavus,82,GCF_040647175.1,Scaffold,1886
Streptomyces albidoflavus,90,GCA_042886955.1,Scaffold,1886
Streptomyces albidoflavus,71,GCA_044332265.1,Scaffold,1886
Streptomyces albidoflavus,46,GCA_042896095.1,Scaffold,1886
Streptomyces albidoflavus,65,GCF_040635865.1,Scaffold,1886
Streptomyces albidoflavus,56,GCA_042887175.1,Scaffold,1886
Streptomyces albidoflavus,99,GCF_040635565.1,Scaffold,1886
Streptomyces albidoflavus,91,GCF_040635525.1,Scaffold,1886
Streptomyces albidoflavus,41,GCF_040635445.1,Scaffold,1886
Streptomyces albidoflavus,85,GCF_040635305.1,Scaffold,1886
Streptomyces albidoflavus,48,GCA_042895605.1,Scaffold,1886
Streptomyces albidoflavus,60,GCA_042887035.1,Scaffold,1886
Streptomyces albidoflavus,40,GCA_042900095.1,Scaffold,1886
Streptomyces albidoflavus,2,GCF_045209585.1,Complete Genome,1886
Streptomyces albidoflavus,1,GCF_001577385.1,Complete Genome,1886
Streptomyces albidoflavus,93,GCF_040634755.1,Scaffold,1886
Streptomyces albidoflavus,2,GCF_045209685.1,Complete Genome,1886
Streptomyces albidoflavus,38,GCA_042900465.1,Scaffold,1886
Streptomyces albidoflavus,98,GCF_040634955.1,Scaffold,1886
Streptomyces albidoflavus,43,GCA_042890205.1,Scaffold,1886
Streptomyces albiflavescens,56,GCF_014645835.1,Scaffold,1623582
Streptomyces albipurpureus,138,GCF_023701525.1,Scaffold,2897419
Streptomyces albireticuli,91,GCF_021228115.1,Scaffold,1940
Streptomyces albireticuli,254,GCF_042740255.1,Scaffold,1940
Streptomyces albireticuli,1,GCF_002192455.1,Complete Genome,1940
Streptomyces albireticuli,115,GCF_021228305.1,Scaffold,1940
Streptomyces albireticuli,108,GCF_021228125.1,Scaffold,1940
Streptomyces alboflavus,3,GCF_002189675.2,Complete Genome,67267
Streptomyces alboflavus,155,GCF_042739675.1,Scaffold,67267
Streptomyces alboflavus,16,GCF_003935055.1,Scaffold,67267
Streptomyces alboflavus,46,GCF_042739535.1,Scaffold,67267
Streptomyces alboflavus,32,GCF_044329125.1,Scaffold,67267
Streptomyces alboflavus,38,GCF_042797495.1,Scaffold,67267
Streptomyces albogriseolus,60,GCF_040678555.1,Scaffold,1887
Streptomyces albogriseolus,21,GCF_044901485.1,Scaffold,1887
Streptomyces albogriseolus,67,GCF_040628915.1,Scaffold,1887
Streptomyces albogriseolus,288,GCF_040628515.1,Scaffold,1887
Streptomyces albogriseolus,75,GCF_044768405.1,Scaffold,1887
Streptomyces albogriseolus,33,GCF_042325195.1,Scaffold,1887
Streptomyces albogriseolus,43,GCF_040674155.1,Scaffold,1887
Streptomyces albogriseolus,19,GCF_044748665.1,Scaffold,1887
Streptomyces albogriseolus,359,GCF_040628415.1,Scaffold,1887
Streptomyces albogriseolus,133,GCF_040678595.1,Scaffold,1887
Streptomyces albogriseolus,20,GCF_044742285.1,Scaffold,1887
Streptomyces albogriseolus,43,GCF_040628935.1,Scaffold,1887
Streptomyces albogriseolus,36,GCF_042671605.1,Scaffold,1887
Streptomyces albogriseolus,26,GCF_044759265.1,Scaffold,1887
Streptomyces albogriseolus,29,GCF_044759285.1,Scaffold,1887
Streptomyces albogriseolus,42,GCF_040637255.1,Scaffold,1887
Streptomyces albogriseolus,41,GCF_044759325.1,Scaffold,1887
Streptomyces albogriseolus,72,GCF_040637175.1,Scaffold,1887
Streptomyces albogriseolus,150,GCF_014655475.1,Scaffold,1887
Streptomyces albogriseolus,698,GCF_040628875.1,Scaffold,1887
Streptomyces albogriseolus,61,GCF_049847185.1,Scaffold,1887
Streptomyces albogriseolus,64,GCF_049844735.1,Scaffold,1887
Streptomyces albogriseolus,43,GCF_049847205.1,Scaffold,1887
Streptomyces albogriseolus,61,GCF_040609895.1,Scaffold,1887
Streptomyces albogriseolus,71,GCF_040632035.1,Scaffold,1887
Streptomyces albogriseolus,21,GCF_044750445.1,Scaffold,1887
Streptomyces albogriseolus,95,GCF_040628975.1,Scaffold,1887
Streptomyces albogriseolus,16,GCF_044759745.1,Scaffold,1887
Streptomyces albogriseolus,196,GCF_040647255.1,Scaffold,1887
Streptomyces albogriseolus,30,GCF_044330225.1,Scaffold,1887
Streptomyces albogriseolus,240,GCF_043082825.1,Scaffold,1887
Streptomyces albogriseolus,49,GCF_042879055.1,Scaffold,1887
Streptomyces albogriseolus,66,GCF_043081545.1,Scaffold,1887
Streptomyces albogriseolus,42,GCF_044326715.1,Scaffold,1887
Streptomyces albogriseolus,1,GCA_046529265.1,Complete Genome,1887
Streptomyces albogriseolus,694,GCF_042741235.1,Scaffold,1887
Streptomyces albogriseolus,2,GCA_008931705.1,Complete Genome,1887
Streptomyces albogriseolus,26,GCF_042956905.1,Scaffold,1887
Streptomyces albogriseolus,24,GCF_042868425.1,Scaffold,1887
Streptomyces albogriseolus,40,GCF_042956245.1,Scaffold,1887
Streptomyces albogriseolus,84,GCF_042742515.1,Scaffold,1887
Streptomyces albogriseolus,66,GCF_014650475.1,Scaffold,1887
Streptomyces albogriseolus,34,GCF_042803435.1,Scaffold,1887
Streptomyces albogriseolus,33,GCF_042902045.1,Scaffold,1887
Streptomyces albogriseolus,27,GCF_042874135.1,Scaffold,1887
Streptomyces albogriseolus,82,GCF_042746065.1,Scaffold,1887
Streptomyces albogriseolus,43,GCF_042746335.1,Scaffold,1887
Streptomyces albogriseolus,28,GCF_042868325.1,Scaffold,1887
Streptomyces albogriseolus,54,GCF_042796955.1,Scaffold,1887
Streptomyces alboniger,1,GCF_008704395.1,Complete Genome,132473
Streptomyces alboniger,578,GCF_001418385.1,Scaffold,132473
Streptomyces albospinus,165,GCF_014648695.1,Scaffold,285515
Streptomyces alboverticillatus,852,GCF_002150845.1,Scaffold,173770
Streptomyces albovinaceus,594,GCF_002154385.1,Scaffold,66867
Streptomyces albus,754,GCF_001418125.1,Scaffold,1888
Streptomyces albus,902,GCF_001661615.1,Scaffold,1888
Streptomyces albus,70,GCF_040704425.1,Scaffold,1888
Streptomyces albus,25,GCF_043077025.1,Scaffold,1888
Streptomyces albus,72,GCF_040632725.1,Scaffold,1888
Streptomyces albus,756,GCF_965135765.1,Scaffold,1888
Streptomyces albus,5,GCF_013302895.1,Scaffold,337066
Streptomyces albus,940,GCF_001418545.1,Scaffold,1888
Streptomyces albus,135,GCF_045371205.1,Scaffold,1888
Streptomyces albus,120,GCF_004768505.1,Scaffold,1888
Streptomyces albus,1,GCA_024582875.1,Complete Genome,1888
Streptomyces albus,2,GCF_024752535.1,Complete Genome,1888
Streptomyces albus,57,GCF_040634045.1,Scaffold,1888
Streptomyces albus,1,GCF_003675345.1,Complete Genome,1888
Streptomyces albus,95,GCF_000813365.1,Scaffold,1888
Streptomyces albus,44,GCF_044329925.1,Scaffold,1888
Streptomyces albus,68,GCF_044329565.1,Scaffold,1888
Streptomyces albus,1,GCF_000827005.1,Complete Genome,1888
Streptomyces albus,48,GCF_044329865.1,Scaffold,1888
Streptomyces albus,1,GCF_001753425.1,Complete Genome,1888
Streptomyces albus,1,GCF_023168305.1,Complete Genome,1888
Streptomyces albus,65,GCF_040635935.1,Scaffold,1888
Streptomyces albus,39,GCF_044329535.1,Scaffold,1888
Streptomyces albus,2,GCF_050367005.1,Complete Genome,337066
Streptomyces albus,64,GCF_044329515.1,Scaffold,1888
Streptomyces albus,41,GCF_044329475.1,Scaffold,1888
Streptomyces albus,488,GCF_043084145.1,Scaffold,1888
Streptomyces albus,52,GCF_044329375.1,Scaffold,1888
Streptomyces albus,1,GCF_011006355.1,Complete Genome,1888
Streptomyces albus,644,GCF_001418505.1,Scaffold,1888
Streptomyces albus,61,GCF_044329505.1,Scaffold,1888
Streptomyces alfalfae,627,GCF_031178535.1,Scaffold,1642299
Streptomyces alfalfae,1,GCF_001975025.1,Complete Genome,1642299
Streptomyces alfalfae,2,GCF_018141485.1,Complete Genome,1642299
Streptomyces alfalfae,1,GCF_016128295.1,Complete Genome,1642299
Streptomyces althioticus,52,GCF_042751475.1,Scaffold,83380
Streptomyces althioticus,33,GCF_044334245.1,Scaffold,83380
Streptomyces althioticus,55,GCF_044334315.1,Scaffold,83380
Streptomyces althioticus,29,GCF_044547165.1,Scaffold,83380
Streptomyces althioticus,57,GCF_042954525.1,Scaffold,83380
