Region	Cluster_type	Cluster-Name	Start	End	Genes_total	Genes_expressed	Reads_total	Mean_reads_per_gene	Completeness	Status
contig_3	protocluster	CDPS	2484341	2505049	20	19	62153	3107.65	95.0%	partly
contig_2	region	terpene	4413876	4436174	18	18	32645	1813.61	100.0%	complete
contig_1	protocluster	T1PKS	0	76890	17	17	118059	6944.65	100.0%	complete
contig_3	protocluster	pyrrolidine	2118065	2150285	25	25	35366	1414.64	100.0%	complete
contig_3	cand_cluster	butyrolactone	913685	924711	8	8	76367	9545.88	100.0%	complete
contig_3	cand_cluster	lanthipeptide-class-iii	2636705	2659324	18	18	158955	8830.83	100.0%	complete
contig_3	protocluster	NAPAA	2954115	2989372	33	30	25740	780.0	90.9%	partly
contig_3	cand_cluster	NI-siderophore	782357	815041	24	24	235164	9798.5	100.0%	complete
contig_3	protocluster	PKS-like	947711	988740	28	28	55747	1990.96	100.0%	complete
contig_3	protocluster	hydrogen-cyanide	3016917	3030032	11	10	1562	142.0	90.9%	partly
contig_2	cand_cluster	NI-siderophore	2020529	2050332	23	23	836431	36366.57	100.0%	complete
